company_code,plant,plant_description,product_code_or_active_code_in_supersession_chain,ean_code,product_mm_status,slow_moving_calculated_qty,obsolete_calculated_no_demand_stock_qty,obsolete_calculated_second_life_or_close_to_expiry_stock_qty
504A,OAAG,AFM FR - BSL ecom,K2387705,800897085605,60,0,4130,0
504A,OAAG,AFM FR - BSL ecom,K2387705,800897085605,50,0,2803,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,80,0,171,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,80,0,171,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,80,0,789,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,80,0,978,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,70,0,6,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,70,0,542,0
504A,OAAE,AFM FR - VENNECY,K4009608,800897123277,70,0,6,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,80,0,11,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,80,0,11,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,80,0,714,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,80,0,551,0
504A,OAAE,AFM FR - VENNECY,K3445202,800897182618,80,0,222,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,90,0,11,0
504A,OAAE,AFM FR - VENNECY,K3445202,800897182618,70,0,760,0
504A,OAAE,AFM FR - VENNECY,K3445202,800897182618,70,0,78,0
504A,OAAE,AFM FR - VENNECY,K3445200,800897182618,90,0,11,0
504A,OAAE,AFM FR - VENNECY,K3611200,800897192303,80,0,82,0
504A,OAAE,AFM FR - VENNECY,K3611200,800897192303,80,0,97,0
504A,OAAE,AFM FR - VENNECY,K3611200,800897192303,80,0,244,0
504A,OAAE,AFM FR - VENNECY,K3611200,800897192303,80,0,367,0
504A,OAAE,AFM FR - VENNECY,K3611201,800897192303,70,0,998,0
504A,OAAE,AFM FR - VENNECY,K3611200,800897192303,70,0,187,0
504A,OAAG,AFM FR - BSL ecom,K3611201,800897192303,60,0,180,0
504A,OAAG,AFM FR - BSL ecom,K3611201,800897192303,70,0,113,0
504A,OAAE,AFM FR - VENNECY,K5230200,800897225254,50,0,66,0
504A,OAAE,AFM FR - VENNECY,K5230200,800897225254,60,0,66,0
504A,OAAE,AFM FR - VENNECY,K5230200,800897225254,60,0,999,0
504A,OAAE,AFM FR - VENNECY,K5230200,800897225254,60,0,894,0
504A,OAAE,AFM FR - VENNECY,K5230200,800897225254,50,0,1164,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,212,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,70,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,196,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,144,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,9,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,50,0,62,0
504A,OAAG,AFM FR - BSL ecom,K5230200,800897225254,60,0,51,0
504A,OAAE,AFM FR - VENNECY,K4262104,800897846008,50,0,374,0
504A,OAAE,AFM FR - VENNECY,K4262104,800897846008,50,0,734,0
504A,OAAE,AFM FR - VENNECY,K4262104,800897846008,50,0,117,0
504A,OAAE,AFM FR - VENNECY,K4262104,800897846008,50,0,1260,0
504A,OAAE,AFM FR - VENNECY,K4262104,800897846008,50,0,45,0
